NAME,SET NAME,ROLE,COUNTRY,PRICE,IMAGE
Andre Russell,Marquee Tier 1,All-rounder,West Indies,2C,
David Warner,Marquee Tier 1,Batsman,Australia,2C,
Glenn Maxwell,Marquee Tier 1,All-rounder,Australia,2C,
Jasprit Bumrah,Marquee Tier 1,Bowler,India,2C,
Jos Buttler,Marquee Tier 1,Wicket-Keeper,England,2C,
MS Dhoni,Marquee Tier 1,Wicket-Keeper,India,2 Cr,
Pat Cummins,Marquee Tier 1,All-rounder,Australia,2 Cr,
Rashid Khan,Marquee Tier 1,All-rounder,Afghanistan,2 Cr,
Rohit Sharma,Marquee Tier 1,Batsman,India,2 Cr,
Sunil Narine,Marquee Tier 1,All-rounder,West Indies,2 Cr,
Travis Head,Marquee Tier 1,Batsman,Australia,2 Cr,
Virat Kohli,Marquee Tier 1,Batsman,India,3 Cr,
Aiden Markram,Marquee Tier 2,Batsman,South Africa,2 Cr,
Anrich Nortje,Marquee Tier 2,Bowler,South Africa,2 Cr,
Axar Patel,Marquee Tier 2,All-rounder,India,2 Cr,
Cameron Green,Marquee Tier 2,All-rounder,Australia,2 Cr,
David Miller,Marquee Tier 2,Batsman,South Africa,2 Cr,
Devon Conway,Marquee Tier 2,Wicket-Keeper,New Zealand,2 Cr,
Hardik Pandya,Marquee Tier 2,All-rounder,India,2 Cr,
Harry Brook,Marquee Tier 2,Batsman,England,2 Cr,
Heinrich Klaasen,Marquee Tier 2,Wicket-Keeper,South Africa,2 Cr,
Ishan Kishan,Marquee Tier 2,Wicket-Keeper,India,2 Cr,
Jonny Bairstow,Marquee Tier 2,Wicket-Keeper,England,2 Cr,
Josh Hazlewood,Marquee Tier 2,Bowler,Australia,2 Cr,
KL Rahul,Marquee Tier 2,Wicket-Keeper,India,2 Cr,
Kagiso Rabada,Marquee Tier 2,Bowler,South Africa,2 Cr,
Liam Livingstone,Marquee Tier 2,All-rounder,England,2 Cr,
Marcus Stoinis,Marquee Tier 2,All-rounder,Australia,2 Cr,
Mitchell Marsh,Marquee Tier 2,All-rounder,Australia,2 Cr,
Mitchell Starc,Marquee Tier 2,Bowler,Australia,2 Cr,
Mohammed Shami,Marquee Tier 2,Bowler,India,2 Cr,
Mohammed Siraj,Marquee Tier 2,Bowler,India,2 Cr,
Nicholas Pooran,Marquee Tier 2,Batsman,West Indies,2 Cr,
Phil Salt,Marquee Tier 2,Wicket-Keeper,England,2 Cr,
Quinton de Kock,Marquee Tier 2,Wicket-Keeper,South Africa,2 Cr,
Rachin Ravindra,Marquee Tier 2,All-rounder,New Zealand,2 Cr,
Ravichandran Ashwin,Marquee Tier 2,Batsman,India,2 Cr,
Ravindra Jadeja,Marquee Tier 2,All-rounder,India,2 Cr,
Rishabh Pant,Marquee Tier 2,Wicket-Keeper,India,2 Cr,
Sam Curran,Marquee Tier 2,All-rounder,England,2 Cr,
Sanju Samson,Marquee Tier 2,Wicket-Keeper,India,2 Cr,
Shreyas Iyer,Marquee Tier 2,Batsman,India,2 Cr,
Shubman Gill,Marquee Tier 2,Batsman,India,2 Cr,
Suryakumar Yadav,Marquee Tier 2,Batsman,India,2 Cr,
Trent Boult,Marquee Tier 2,Bowler,New Zealand,2 Cr,
Wanindu Hasaranga,Marquee Tier 2,All-rounder,Sri Lanka,2 Cr,
Yashasvi Jaiswal,Marquee Tier 2,Batsman,India,2 Cr,
Yuzvendra Chahal,Marquee Tier 2,Bowler,India,2 Cr,
Abhimanyu Easwaran,Capped Batsman,All-rounder,India,1.5 Cr,
Abhishek Sharma,Capped Batsman,Batsman,India,1.5 Cr,
Abishek Porel,Capped Batsman,Wicket-Keeper,India,1.5 Cr,
Ajinkya Rahane,Capped Batsman,Batsman,India,1.5 Cr,
Alex Carey,Capped Batsman,Wicket-Keeper,Australia,1.5 Cr,
Andre Fletcher,Capped Batsman,Batsman,West Indies,1.5 Cr,
Anmolpreet Singh,Capped Batsman,Batsman,India,1.5 Cr,
Ashton Turner,Capped Batsman,Batsman,Australia,1.5 Cr,
Baba Indrajith,Capped Batsman,Batsman,India,1.5 Cr,
Ben Duckett,Capped Batsman,Batsman,England,1.5 Cr,
Ben McDermott,Capped Batsman,Wicket-Keeper,Australia,1.5 Cr,
Bhanuka Rajapaksa,Capped Batsman,Batsman,Sri Lanka,1.5 Cr,
Brandon King,Capped Batsman,Batsman,West Indies,1.5 Cr,
Charith Asalanka,Capped Batsman,All-rounder,Sri Lanka,1.5 Cr,
Daryl Mitchell,Capped Batsman,Batsman,New Zealand,1.5 Cr,
Devdutt Padikkal,Capped Batsman,Batsman,India,1.5 Cr,
Dewald Brevis,Capped Batsman,Batsman,South Africa,1.5 Cr,
Dhruv Jurel,Capped Batsman,Wicket-Keeper,India,1.5 Cr,
Evin Lewis,Capped Batsman,Batsman,West Indies,1.5 Cr,
Faf du Plessis,Capped Batsman,Batsman,South Africa,1.5 Cr,
Finn Allen,Capped Batsman,Batsman,New Zealand,1.5 Cr,
Glenn Phillips,Capped Batsman,Batsman,New Zealand,1.5 Cr,
Harry Tector,Capped Batsman,Batsman,Ireland,1.5 Cr,
Ibrahim Zadran,Capped Batsman,Batsman,Afghanistan,1.5 Cr,
Jake Fraser-McGurk,Capped Batsman,Batsman,Australia,1.5 Cr,
James Vince,Capped Batsman,Batsman,England,1.5 Cr,
Jitesh Sharma,Capped Batsman,Wicket-Keeper,India,1.5 Cr,
Johnson Charles,Capped Batsman,Batsman,West Indies,1.5 Cr,
Jordan Cox,Capped Batsman,Wicket-Keeper,England,1.5 Cr,
Josh Inglis,Capped Batsman,Wicket-Keeper,Australia,1.5 Cr,
Josh Philippe,Capped Batsman,Wicket-Keeper,Australia,1.5 Cr,
Kane Williamson,Capped Batsman,Batsman,New Zealand,1.5 Cr,
Karun Nair,Capped Batsman,Batsman,India,1.5 Cr,
Kusal Mendis,Capped Batsman,Wicket-Keeper,Sri Lanka,1.5 Cr,
Kusal Perera,Capped Batsman,Wicket-Keeper,Sri Lanka,1.5 Cr,
Kyle Verreynne,Capped Batsman,Wicket-Keeper,South Africa,1.5 Cr,
Litton Das,Capped Batsman,Wicket-Keeper,Bangladesh,1.5 Cr,
M Shahrukh Khan,Capped Batsman,Batsman,India,1.5 Cr,
Manan Vohra,Capped Batsman,Batsman,India,1.5 Cr,
Manish Pandey,Capped Batsman,Batsman,India,1.5 Cr,
Marco Jansen,Capped Batsman,Bowler,South Africa,1.5 Cr,
Mark Chapman,Capped Batsman,Batsman,New Zealand,1.5 Cr,
Matthew Breetzke,Capped Batsman,Batsman,South Africa,1.5 Cr,
Mayank Agarawal,Capped Batsman,Batsman,India,1.5 Cr,
Najibullah Zadran,Capped Batsman,Batsman,Afghanistan,1.5 Cr,
Nitish Rana,Capped Batsman,Batsman,India,1.5 Cr,
Ollie Pope,Capped Batsman,Batsman,England,1.5 Cr,
Pathum Nissanka,Capped Batsman,Batsman,Sri Lanka,1.5 Cr,
Prabhsimran Singh,Capped Batsman,Batsman,India,1.5 Cr,
Prithvi Shaw,Capped Batsman,Batsman,India,1.5 Cr,
Rahmanullah Gurbaz,Capped Batsman,Wicket-Keeper,Afghanistan,1.5 Cr,
Rahul Tripathi,Capped Batsman,Batsman,India,1.5 Cr,
Rajat Patidar,Capped Batsman,Batsman,India,1.5 Cr,
Rassie van der Dussen,Capped Batsman,Batsman,South Africa,1.5 Cr,
Ricky Bhui,Capped Batsman,Batsman,India,1.5 Cr,
Rilee Rossouw,Capped Batsman,Batsman,South Africa,1.5 Cr,
Rinku Singh,Capped Batsman,Batsman,India,1.5 Cr,
Rovman Powell,Capped Batsman,Batsman,West Indies,1.5 Cr,
Ruturaj Gaikwad,Capped Batsman,Batsman,India,1.5 Cr,
Ryan Rickelton,Capped Batsman,Wicket-Keeper,South Africa,1.5 Cr,
Sai Sudharsan,Capped Batsman,Batsman,India,1.5 Cr,
Sam Billings,Capped Batsman,Wicket-Keeper,England,1.5 Cr,
Sarfaraz Khan,Capped Batsman,Batsman,India,1.5 Cr,
Sediqullah Atal,Capped Batsman,Batsman,Afghanistan,1.5 Cr,
Shai Hope,Capped Batsman,Wicket-Keeper,West Indies,1.5 Cr,
Sherfane Rutherford,Capped Batsman,Batsman,West Indies,1.5 Cr,
Shimron Hetmyer,Capped Batsman,Batsman,India,1.5 Cr,
Steven Smith,Capped Batsman,Batsman,Australia,1.5 Cr,
Tilak Varma,Capped Batsman,Batsman,India,1.5 Cr,
Tim Seifert,Capped Batsman,Wicket-Keeper,New Zealand,1.5 Cr,
Tom Banton,Capped Batsman,Wicket-Keeper,England,1.5 Cr,
Tom Kohler-Cadmore,Capped Batsman,Batsman,India,1.5 Cr,
Tom Latham,Capped Batsman,Wicket-Keeper,New Zealand,1.5 Cr,
Towhid Hridoy,Capped Batsman,Batsman,Bangladesh,1.5 Cr,
Tristan Stubbs,Capped Batsman,Batsman,South Africa,1.5 Cr,
Unmukt Chand,Capped Batsman,Batsman,India,1.5 Cr,
Will Young,Capped Batsman,Batsman,New Zealand,1.5 Cr,
Adam Milne,Capped Bowler,Bowler,New Zealand,1.5 Cr,
Adam Zampa,Capped Bowler,Bowler,India,1.5 Cr,
Adil Rashid,Capped Bowler,Bowler,India,1.5 Cr,
Akash Deep,Capped Bowler,Bowler,India,1.5 Cr,
Akeal Hosein,Capped Bowler,Bowler,India,1.5 Cr,
Alzarri Joseph,Capped Bowler,Bowler,West Indies,1.5 Cr,
Arshdeep Singh,Capped Bowler,Bowler,India,1.5 Cr,
Avesh Khan,Capped Bowler,Bowler,India,1.5 Cr,
Basil Thampi,Capped Bowler,Bowler,India,1.5 Cr,
Bhuvneshwar Kumar,Capped Bowler,Bowler,India,1.5 Cr,
Chetan Sakariya,Capped Bowler,Bowler,India,1.5 Cr,
