NAME,SET NAME,ROLE,COUNTRY,PRICE,IMAGE
Jasprit Bumrah,Marquee Tier 1,Bowler,India,2C,bumrah.avif
Jos Buttler,Marquee Tier 1,Wicket-Keeper,England,2C,jos_buttler.avif
MS Dhoni,Marquee Tier 1,Wicket-Keeper,India,3 Cr,ms_dhoni.avif
Pat Cummins,Marquee Tier 1,All-rounder,Australia,2 Cr,pat_cummins.avif
Rashid Khan,Marquee Tier 1,All-rounder,Afghanistan,2 Cr,rashid_khan.avif
Rohit Sharma,Marquee Tier 1,Batsman,India,2 Cr,rohit_sharma.avif
Sunil Narine,Marquee Tier 1,All-rounder,West Indies,2 Cr,sunil_narine.avif
Travis Head,Marquee Tier 1,Batsman,Australia,2 Cr,travis_head.avif
Virat Kohli,Marquee Tier 1,Batsman,India,3 Cr,virat_kohli.avif
Jofra Archer,Marquee Tier 2,Bowler,England,2 Cr,jofra_archer.avif
Aiden Markram,Marquee Tier 2,Batsman,South Africa,2 Cr,markram.avif
Axar Patel,Marquee Tier 2,All-rounder,India,2 Cr,axar_patel.avif
Hardik Pandya,Marquee Tier 2,All-rounder,India,2 Cr,hardik_pandya.avif
Heinrich Klaasen,Marquee Tier 2,Wicket-Keeper,South Africa,2 Cr,heinrich_klaasen.avif
Ishan Kishan,Marquee Tier 2,Wicket-Keeper,India,2 Cr,ishan_kishan.avif
Josh Hazlewood,Marquee Tier 2,Bowler,Australia,2 Cr,hazelwood.avif
KL Rahul,Marquee Tier 2,Wicket-Keeper,India,2 Cr,kl_rahul.avif
Kagiso Rabada,Marquee Tier 2,Bowler,South Africa,2 Cr,rabada.avif
Marcus Stoinis,Marquee Tier 2,All-rounder,Australia,2 Cr,stoinis.avif
Mitchell Marsh,Marquee Tier 2,All-rounder,Australia,2 Cr,mitchell_marsh.avif
Mitchell Starc,Marquee Tier 2,Bowler,Australia,2 Cr,mitchell_starc.avif
Mohammed Siraj,Marquee Tier 2,Bowler,India,2 Cr,siraj.avif
